Illinois,Race,Sex,Ethnicity,County,Count,Age,Year
17,White,Male,Not Hispanic,1,1476,1,2005
17,White,Female,Not Hispanic,1,1391,1,2005
17,Black,Male,Not Hispanic,1,76,1,2005
17,Black,Female,Not Hispanic,1,92,1,2005
17,AIAN,Male,Not Hispanic,1,3,1,2005
17,AIAN,Female,Not Hispanic,1,3,1,2005
17,Asian,Male,Not Hispanic,1,10,1,2005
17,Asian,Female,Not Hispanic,1,12,1,2005
17,TOM,Male,Not Hispanic,1,63,1,2005
17,TOM,Female,Not Hispanic,1,61,1,2005
17,White,Male,Hispanic,1,38,1,2005
17,White,Female,Hispanic,1,18,1,2005
17,Black,Female,Hispanic,1,1,1,2005
17,TOM,Male,Hispanic,1,2,1,2005
17,White,Male,Not Hispanic,1,1974,2,2005
17,White,Female,Not Hispanic,1,1882,2,2005
17,Black,Male,Not Hispanic,1,90,2,2005
17,Black,Female,Not Hispanic,1,83,2,2005
17,AIAN,Male,Not Hispanic,1,3,2,2005
17,AIAN,Female,Not Hispanic,1,1,2,2005
17,Asian,Male,Not Hispanic,1,11,2,2005
17,Asian,Female,Not Hispanic,1,11,2,2005
17,NHOPI,Female,Not Hispanic,1,1,2,2005
17,TOM,Male,Not Hispanic,1,66,2,2005
17,TOM,Female,Not Hispanic,1,59,2,2005
17,White,Male,Hispanic,1,25,2,2005
17,White,Female,Hispanic,1,37,2,2005
17,Black,Male,Hispanic,1,1,2,2005
17,Black,Female,Hispanic,1,3,2,2005
17,AIAN,Male,Hispanic,1,1,2,2005
17,AIAN,Female,Hispanic,1,1,2,2005
17,TOM,Male,Hispanic,1,3,2,2005
17,TOM,Female,Hispanic,1,5,2,2005
17,White,Male,Not Hispanic,1,2180,3,2005
17,White,Female,Not Hispanic,1,2074,3,2005
17,Black,Male,Not Hispanic,1,87,3,2005
17,Black,Female,Not Hispanic,1,96,3,2005
17,AIAN,Male,Not Hispanic,1,4,3,2005
17,AIAN,Female,Not Hispanic,1,2,3,2005
17,Asian,Male,Not Hispanic,1,6,3,2005
17,Asian,Female,Not Hispanic,1,15,3,2005
17,TOM,Male,Not Hispanic,1,42,3,2005
17,TOM,Female,Not Hispanic,1,52,3,2005
17,White,Male,Hispanic,1,30,3,2005
17,White,Female,Hispanic,1,33,3,2005
17,Black,Male,Hispanic,1,2,3,2005
17,Black,Female,Hispanic,1,2,3,2005
17,AIAN,Male,Hispanic,1,2,3,2005
17,Asian,Male,Hispanic,1,1,3,2005
17,Asian,Female,Hispanic,1,2,3,2005
17,TOM,Male,Hispanic,1,3,3,2005
17,TOM,Female,Hispanic,1,1,3,2005
17,White,Male,Not Hispanic,1,2325,4,2005
17,White,Female,Not Hispanic,1,2215,4,2005
17,Black,Male,Not Hispanic,1,126,4,2005
17,Black,Female,Not Hispanic,1,111,4,2005
17,AIAN,Male,Not Hispanic,1,4,4,2005
17,AIAN,Female,Not Hispanic,1,5,4,2005
17,Asian,Male,Not Hispanic,1,17,4,2005
17,Asian,Female,Not Hispanic,1,9,4,2005
17,TOM,Male,Not Hispanic,1,33,4,2005
17,TOM,Female,Not Hispanic,1,46,4,2005
17,White,Male,Hispanic,1,29,4,2005
17,White,Female,Hispanic,1,34,4,2005
17,Black,Male,Hispanic,1,2,4,2005
17,Black,Female,Hispanic,1,3,4,2005
17,Asian,Male,Hispanic,1,1,4,2005
17,TOM,Male,Hispanic,1,3,4,2005
17,White,Male,Not Hispanic,1,1901,5,2005
17,White,Female,Not Hispanic,1,2019,5,2005
17,Black,Male,Not Hispanic,1,109,5,2005
17,Black,Female,Not Hispanic,1,97,5,2005
17,AIAN,Male,Not Hispanic,1,5,5,2005
17,AIAN,Female,Not Hispanic,1,6,5,2005
17,Asian,Male,Not Hispanic,1,9,5,2005
17,Asian,Female,Not Hispanic,1,9,5,2005
17,NHOPI,Female,Not Hispanic,1,1,5,2005
17,TOM,Male,Not Hispanic,1,34,5,2005
17,TOM,Female,Not Hispanic,1,26,5,2005
17,White,Male,Hispanic,1,33,5,2005
17,White,Female,Hispanic,1,24,5,2005
17,Black,Male,Hispanic,1,4,5,2005
17,Black,Female,Hispanic,1,4,5,2005
17,Asian,Male,Hispanic,1,2,5,2005
17,TOM,Female,Hispanic,1,1,5,2005
17,White,Male,Not Hispanic,1,1683,6,2005
17,White,Female,Not Hispanic,1,1597,6,2005
17,Black,Male,Not Hispanic,1,75,6,2005
17,Black,Female,Not Hispanic,1,59,6,2005
17,AIAN,Male,Not Hispanic,1,6,6,2005
17,AIAN,Female,Not Hispanic,1,4,6,2005
17,Asian,Male,Not Hispanic,1,12,6,2005
17,Asian,Female,Not Hispanic,1,20,6,2005
17,NHOPI,Male,Not Hispanic,1,1,6,2005
17,TOM,Male,Not Hispanic,1,25,6,2005
17,TOM,Female,Not Hispanic,1,19,6,2005
17,White,Male,Hispanic,1,20,6,2005
17,White,Female,Hispanic,1,25,6,2005
17,Black,Female,Hispanic,1,2,6,2005
17,Asian,Male,Hispanic,1,1,6,2005
17,TOM,Female,Hispanic,1,2,6,2005
17,White,Male,Not Hispanic,1,1715,7,2005
17,White,Female,Not Hispanic,1,1764,7,2005
17,Black,Male,Not Hispanic,1,87,7,2005
17,Black,Female,Not Hispanic,1,50,7,2005
17,AIAN,Male,Not Hispanic,1,2,7,2005
17,AIAN,Female,Not Hispanic,1,4,7,2005
17,Asian,Male,Not Hispanic,1,12,7,2005
17,Asian,Female,Not Hispanic,1,16,7,2005
17,TOM,Male,Not Hispanic,1,12,7,2005
17,TOM,Female,Not Hispanic,1,14,7,2005
17,White,Male,Hispanic,1,18,7,2005
17,White,Female,Hispanic,1,18,7,2005
17,Black,Male,Hispanic,1,2,7,2005
17,Black,Female,Hispanic,1,1,7,2005
17,AIAN,Male,Hispanic,1,1,7,2005
17,AIAN,Female,Hispanic,1,2,7,2005
17,Asian,Female,Hispanic,1,1,7,2005
17,TOM,Female,Hispanic,1,1,7,2005
17,White,Male,Not Hispanic,1,1890,8,2005
17,White,Female,Not Hispanic,1,1964,8,2005
17,Black,Male,Not Hispanic,1,68,8,2005
17,Black,Female,Not Hispanic,1,65,8,2005
17,AIAN,Male,Not Hispanic,1,4,8,2005
17,AIAN,Female,Not Hispanic,1,1,8,2005
17,Asian,Male,Not Hispanic,1,19,8,2005
17,Asian,Female,Not Hispanic,1,19,8,2005
17,NHOPI,Female,Not Hispanic,1,1,8,2005
17,TOM,Male,Not Hispanic,1,9,8,2005
17,TOM,Female,Not Hispanic,1,9,8,2005
17,White,Male,Hispanic,1,16,8,2005
17,White,Female,Hispanic,1,24,8,2005
17,Black,Female,Hispanic,1,2,8,2005
17,AIAN,Male,Hispanic,1,1,8,2005
17,Asian,Male,Hispanic,1,1,8,2005
17,TOM,Female,Hispanic,1,2,8,2005
17,White,Male,Not Hispanic,1,2254,9,2005
17,White,Female,Not Hispanic,1,2349,9,2005
17,Black,Male,Not Hispanic,1,81,9,2005
17,Black,Female,Not Hispanic,1,66,9,2005
17,AIAN,Male,Not Hispanic,1,5,9,2005
17,AIAN,Female,Not Hispanic,1,5,9,2005
17,Asian,Male,Not Hispanic,1,14,9,2005
17,Asian,Female,Not Hispanic,1,12,9,2005
17,NHOPI,Male,Not Hispanic,1,1,9,2005
17,TOM,Male,Not Hispanic,1,12,9,2005
17,TOM,Female,Not Hispanic,1,12,9,2005
17,White,Male,Hispanic,1,16,9,2005
17,White,Female,Hispanic,1,17,9,2005
17,Black,Male,Hispanic,1,1,9,2005
17,AIAN,Male,Hispanic,1,1,9,2005
17,AIAN,Female,Hispanic,1,1,9,2005
17,TOM,Male,Hispanic,1,1,9,2005
17,TOM,Female,Hispanic,1,1,9,2005
17,White,Male,Not Hispanic,1,2342,10,2005
17,White,Female,Not Hispanic,1,2331,10,2005
17,Black,Male,Not Hispanic,1,85,10,2005
17,Black,Female,Not Hispanic,1,57,10,2005
17,AIAN,Male,Not Hispanic,1,5,10,2005
17,AIAN,Female,Not Hispanic,1,1,10,2005
17,Asian,Male,Not Hispanic,1,7,10,2005
17,Asian,Female,Not Hispanic,1,13,10,2005
17,TOM,Male,Not Hispanic,1,16,10,2005
17,TOM,Female,Not Hispanic,1,11,10,2005
17,White,Male,Hispanic,1,12,10,2005
17,White,Female,Hispanic,1,15,10,2005
17,Black,Female,Hispanic,1,2,10,2005
17,Asian,Male,Hispanic,1,1,10,2005
17,White,Male,Not Hispanic,1,2164,11,2005
17,White,Female,Not Hispanic,1,2231,11,2005
17,Black,Male,Not Hispanic,1,66,11,2005
17,Black,Female,Not Hispanic,1,41,11,2005
17,AIAN,Male,Not Hispanic,1,5,11,2005
17,AIAN,Female,Not Hispanic,1,6,11,2005
17,Asian,Male,Not Hispanic,1,11,11,2005
17,Asian,Female,Not Hispanic,1,16,11,2005
17,NHOPI,Male,Not Hispanic,1,1,11,2005
17,TOM,Male,Not Hispanic,1,10,11,2005
17,TOM,Female,Not Hispanic,1,14,11,2005
17,White,Male,Hispanic,1,8,11,2005
17,White,Female,Hispanic,1,12,11,2005
17,Black,Female,Hispanic,1,1,11,2005
17,AIAN,Female,Hispanic,1,1,11,2005
17,White,Male,Not Hispanic,1,1910,12,2005
17,White,Female,Not Hispanic,1,2065,12,2005
17,Black,Male,Not Hispanic,1,40,12,2005
17,Black,Female,Not Hispanic,1,51,12,2005
17,AIAN,Male,Not Hispanic,1,3,12,2005
17,AIAN,Female,Not Hispanic,1,4,12,2005
17,Asian,Male,Not Hispanic,1,6,12,2005
17,Asian,Female,Not Hispanic,1,14,12,2005
17,NHOPI,Female,Not Hispanic,1,1,12,2005
17,TOM,Male,Not Hispanic,1,4,12,2005
17,TOM,Female,Not Hispanic,1,8,12,2005
17,White,Male,Hispanic,1,6,12,2005
17,White,Female,Hispanic,1,12,12,2005
17,White,Male,Not Hispanic,1,1498,13,2005
17,White,Female,Not Hispanic,1,1722,13,2005
17,Black,Male,Not Hispanic,1,29,13,2005
17,Black,Female,Not Hispanic,1,33,13,2005
17,AIAN,Male,Not Hispanic,1,3,13,2005
17,AIAN,Female,Not Hispanic,1,2,13,2005
17,Asian,Male,Not Hispanic,1,6,13,2005
17,Asian,Female,Not Hispanic,1,12,13,2005
17,TOM,Male,Not Hispanic,1,5,13,2005
17,TOM,Female,Not Hispanic,1,5,13,2005
17,White,Male,Hispanic,1,7,13,2005
17,White,Female,Hispanic,1,4,13,2005
17,AIAN,Female,Hispanic,1,1,13,2005
17,White,Male,Not Hispanic,1,1293,14,2005
17,White,Female,Not Hispanic,1,1379,14,2005
17,Black,Male,Not Hispanic,1,18,14,2005
17,Black,Female,Not Hispanic,1,30,14,2005
17,AIAN,Female,Not Hispanic,1,2,14,2005
17,Asian,Male,Not Hispanic,1,4,14,2005
17,Asian,Female,Not Hispanic,1,9,14,2005
17,TOM,Male,Not Hispanic,1,7,14,2005
17,TOM,Female,Not Hispanic,1,4,14,2005
17,White,Male,Hispanic,1,6,14,2005
17,White,Female,Hispanic,1,8,14,2005
17,White,Male,Not Hispanic,1,1026,15,2005
17,White,Female,Not Hispanic,1,1309,15,2005
17,Black,Male,Not Hispanic,1,19,15,2005
17,Black,Female,Not Hispanic,1,23,15,2005
17,AIAN,Male,Not Hispanic,1,1,15,2005
17,AIAN,Female,Not Hispanic,1,1,15,2005
17,Asian,Male,Not Hispanic,1,4,15,2005
17,Asian,Female,Not Hispanic,1,3,15,2005
17,TOM,Male,Not Hispanic,1,6,15,2005
17,TOM,Female,Not Hispanic,1,3,15,2005
17,White,Male,Hispanic,1,4,15,2005
17,White,Female,Hispanic,1,3,15,2005
17,White,Male,Not Hispanic,1,1051,16,2005
17,White,Female,Not Hispanic,1,1391,16,2005
17,Black,Male,Not Hispanic,1,18,16,2005
17,Black,Female,Not Hispanic,1,26,16,2005
17,AIAN,Female,Not Hispanic,1,1,16,2005
17,Asian,Female,Not Hispanic,1,3,16,2005
17,NHOPI,Female,Not Hispanic,1,1,16,2005
17,TOM,Female,Not Hispanic,1,2,16,2005
17,White,Male,Hispanic,1,1,16,2005
17,White,Female,Hispanic,1,4,16,2005
17,White,Male,Not Hispanic,1,756,17,2005
17,White,Female,Not Hispanic,1,1188,17,2005
17,Black,Male,Not Hispanic,1,8,17,2005
17,Black,Female,Not Hispanic,1,15,17,2005
17,Asian,Female,Not Hispanic,1,2,17,2005
17,TOM,Male,Not Hispanic,1,4,17,2005
17,TOM,Female,Not Hispanic,1,5,17,2005
17,White,Male,Hispanic,1,3,17,2005
17,White,Female,Hispanic,1,1,17,2005
17,White,Male,Not Hispanic,1,588,18,2005
17,White,Female,Not Hispanic,1,1282,18,2005
17,Black,Male,Not Hispanic,1,6,18,2005
17,Black,Female,Not Hispanic,1,14,18,2005
17,AIAN,Female,Not Hispanic,1,1,18,2005
17,Asian,Female,Not Hispanic,1,1,18,2005
