Provider Column,Race,Sex,Ethnicity,County,Count,Age,Year
1,White,Male,Not Hispanic,1,1589,1,2022
1,White,Female,Not Hispanic,1,1543,1,2022
1,Black,Male,Not Hispanic,1,104,1,2022
1,Black,Female,Not Hispanic,1,113,1,2022
1,AIAN,Male,Not Hispanic,1,5,1,2022
1,AIAN,Female,Not Hispanic,1,2,1,2022
1,Asian,Male,Not Hispanic,1,18,1,2022
1,Asian,Female,Not Hispanic,1,20,1,2022
1,NHOPI,Female,Not Hispanic,1,4,1,2022
1,TOM,Male,Not Hispanic,1,105,1,2022
1,TOM,Female,Not Hispanic,1,116,1,2022
1,White,Male,Hispanic,1,59,1,2022
1,White,Female,Hispanic,1,38,1,2022
1,Black,Male,Hispanic,1,6,1,2022
1,Black,Female,Hispanic,1,4,1,2022
1,AIAN,Male,Hispanic,1,1,1,2022
1,AIAN,Female,Hispanic,1,1,1,2022
1,TOM,Male,Hispanic,1,5,1,2022
1,TOM,Female,Hispanic,1,15,1,2022
1,White,Male,Not Hispanic,1,1799,2,2022
1,White,Female,Not Hispanic,1,1657,2,2022
1,Black,Male,Not Hispanic,1,100,2,2022
1,Black,Female,Not Hispanic,1,110,2,2022
1,AIAN,Male,Not Hispanic,1,3,2,2022
1,AIAN,Female,Not Hispanic,1,2,2,2022
1,Asian,Male,Not Hispanic,1,26,2,2022
1,Asian,Female,Not Hispanic,1,30,2,2022
1,NHOPI,Male,Not Hispanic,1,1,2,2022
1,NHOPI,Female,Not Hispanic,1,1,2,2022
1,TOM,Male,Not Hispanic,1,122,2,2022
1,TOM,Female,Not Hispanic,1,110,2,2022
1,White,Male,Hispanic,1,58,2,2022
1,White,Female,Hispanic,1,51,2,2022
1,Black,Male,Hispanic,1,13,2,2022
1,Black,Female,Hispanic,1,5,2,2022
1,AIAN,Male,Hispanic,1,9,2,2022
1,AIAN,Female,Hispanic,1,9,2,2022
1,TOM,Male,Hispanic,1,7,2,2022
1,TOM,Female,Hispanic,1,6,2,2022
1,White,Male,Not Hispanic,1,1821,3,2022
1,White,Female,Not Hispanic,1,1759,3,2022
1,Black,Male,Not Hispanic,1,111,3,2022
1,Black,Female,Not Hispanic,1,84,3,2022
1,AIAN,Male,Not Hispanic,1,6,3,2022
1,AIAN,Female,Not Hispanic,1,3,3,2022
1,Asian,Male,Not Hispanic,1,19,3,2022
1,Asian,Female,Not Hispanic,1,13,3,2022
1,NHOPI,Female,Not Hispanic,1,1,3,2022
1,TOM,Male,Not Hispanic,1,125,3,2022
1,TOM,Female,Not Hispanic,1,86,3,2022
1,White,Male,Hispanic,1,47,3,2022
1,White,Female,Hispanic,1,37,3,2022
1,Black,Male,Hispanic,1,6,3,2022
1,Black,Female,Hispanic,1,1,3,2022
1,AIAN,Female,Hispanic,1,3,3,2022
1,TOM,Male,Hispanic,1,7,3,2022
1,TOM,Female,Hispanic,1,2,3,2022
1,White,Male,Not Hispanic,1,1831,4,2022
1,White,Female,Not Hispanic,1,1661,4,2022
1,Black,Male,Not Hispanic,1,109,4,2022
1,Black,Female,Not Hispanic,1,108,4,2022
1,AIAN,Male,Not Hispanic,1,1,4,2022
1,AIAN,Female,Not Hispanic,1,4,4,2022
1,Asian,Male,Not Hispanic,1,18,4,2022
1,Asian,Female,Not Hispanic,1,12,4,2022
1,NHOPI,Male,Not Hispanic,1,1,4,2022
1,TOM,Male,Not Hispanic,1,100,4,2022
1,TOM,Female,Not Hispanic,1,96,4,2022
1,White,Male,Hispanic,1,40,4,2022
1,White,Female,Hispanic,1,51,4,2022
1,Black,Male,Hispanic,1,7,4,2022
1,Black,Female,Hispanic,1,7,4,2022
1,AIAN,Male,Hispanic,1,9,4,2022
1,AIAN,Female,Hispanic,1,3,4,2022
1,Asian,Male,Hispanic,1,1,4,2022
1,TOM,Male,Hispanic,1,6,4,2022
1,TOM,Female,Hispanic,1,5,4,2022
1,White,Male,Not Hispanic,1,1585,5,2022
1,White,Female,Not Hispanic,1,1574,5,2022
1,Black,Male,Not Hispanic,1,122,5,2022
1,Black,Female,Not Hispanic,1,109,5,2022
1,AIAN,Male,Not Hispanic,1,5,5,2022
1,AIAN,Female,Not Hispanic,1,3,5,2022
1,Asian,Male,Not Hispanic,1,9,5,2022
1,Asian,Female,Not Hispanic,1,28,5,2022
1,NHOPI,Male,Not Hispanic,1,2,5,2022
1,TOM,Male,Not Hispanic,1,69,5,2022
1,TOM,Female,Not Hispanic,1,53,5,2022
1,White,Male,Hispanic,1,46,5,2022
1,White,Female,Hispanic,1,37,5,2022
1,Black,Male,Hispanic,1,5,5,2022
1,Black,Female,Hispanic,1,1,5,2022
1,AIAN,Male,Hispanic,1,24,5,2022
1,AIAN,Female,Hispanic,1,1,5,2022
1,Asian,Male,Hispanic,1,2,5,2022
1,Asian,Female,Hispanic,1,2,5,2022
1,NHOPI,Female,Hispanic,1,1,5,2022
1,TOM,Male,Hispanic,1,6,5,2022
1,TOM,Female,Hispanic,1,9,5,2022
1,White,Male,Not Hispanic,1,1559,6,2022
1,White,Female,Not Hispanic,1,1576,6,2022
1,Black,Male,Not Hispanic,1,106,6,2022
1,Black,Female,Not Hispanic,1,87,6,2022
1,AIAN,Male,Not Hispanic,1,2,6,2022
1,AIAN,Female,Not Hispanic,1,2,6,2022
1,Asian,Male,Not Hispanic,1,10,6,2022
1,Asian,Female,Not Hispanic,1,23,6,2022
1,NHOPI,Female,Not Hispanic,1,1,6,2022
1,TOM,Male,Not Hispanic,1,42,6,2022
1,TOM,Female,Not Hispanic,1,43,6,2022
1,White,Male,Hispanic,1,37,6,2022
1,White,Female,Hispanic,1,43,6,2022
1,Black,Male,Hispanic,1,1,6,2022
1,Black,Female,Hispanic,1,3,6,2022
1,AIAN,Male,Hispanic,1,1,6,2022
1,Asian,Female,Hispanic,1,1,6,2022
1,NHOPI,Female,Hispanic,1,1,6,2022
1,TOM,Male,Hispanic,1,5,6,2022
1,TOM,Female,Hispanic,1,2,6,2022
1,White,Male,Not Hispanic,1,1763,7,2022
1,White,Female,Not Hispanic,1,1807,7,2022
1,Black,Male,Not Hispanic,1,110,7,2022
1,Black,Female,Not Hispanic,1,85,7,2022
1,AIAN,Male,Not Hispanic,1,1,7,2022
1,AIAN,Female,Not Hispanic,1,5,7,2022
1,Asian,Male,Not Hispanic,1,18,7,2022
1,Asian,Female,Not Hispanic,1,20,7,2022
1,TOM,Male,Not Hispanic,1,31,7,2022
1,TOM,Female,Not Hispanic,1,36,7,2022
1,White,Male,Hispanic,1,46,7,2022
1,White,Female,Hispanic,1,44,7,2022
1,Black,Male,Hispanic,1,2,7,2022
1,Black,Female,Hispanic,1,3,7,2022
1,AIAN,Male,Hispanic,1,2,7,2022
1,AIAN,Female,Hispanic,1,1,7,2022
1,Asian,Male,Hispanic,1,2,7,2022
1,Asian,Female,Hispanic,1,1,7,2022
1,NHOPI,Male,Hispanic,1,2,7,2022
1,TOM,Female,Hispanic,1,3,7,2022
1,White,Male,Not Hispanic,1,1776,8,2022
1,White,Female,Not Hispanic,1,1813,8,2022
1,Black,Male,Not Hispanic,1,94,8,2022
1,Black,Female,Not Hispanic,1,61,8,2022
1,AIAN,Male,Not Hispanic,1,3,8,2022
1,AIAN,Female,Not Hispanic,1,7,8,2022
1,Asian,Male,Not Hispanic,1,22,8,2022
1,Asian,Female,Not Hispanic,1,18,8,2022
1,NHOPI,Female,Not Hispanic,1,2,8,2022
1,TOM,Male,Not Hispanic,1,24,8,2022
1,TOM,Female,Not Hispanic,1,26,8,2022
1,White,Male,Hispanic,1,42,8,2022
1,White,Female,Hispanic,1,29,8,2022
1,Black,Male,Hispanic,1,8,8,2022
1,Black,Female,Hispanic,1,4,8,2022
1,Asian,Male,Hispanic,1,2,8,2022
1,TOM,Male,Hispanic,1,2,8,2022
1,TOM,Female,Hispanic,1,3,8,2022
1,White,Male,Not Hispanic,1,1847,9,2022
1,White,Female,Not Hispanic,1,1782,9,2022
1,Black,Male,Not Hispanic,1,87,9,2022
1,Black,Female,Not Hispanic,1,58,9,2022
1,AIAN,Male,Not Hispanic,1,1,9,2022
1,AIAN,Female,Not Hispanic,1,4,9,2022
1,Asian,Male,Not Hispanic,1,18,9,2022
1,Asian,Female,Not Hispanic,1,25,9,2022
1,NHOPI,Male,Not Hispanic,1,3,9,2022
1,NHOPI,Female,Not Hispanic,1,1,9,2022
1,TOM,Male,Not Hispanic,1,17,9,2022
1,TOM,Female,Not Hispanic,1,22,9,2022
1,White,Male,Hispanic,1,33,9,2022
1,White,Female,Hispanic,1,27,9,2022
1,Black,Male,Hispanic,1,9,9,2022
1,Black,Female,Hispanic,1,2,9,2022
1,AIAN,Female,Hispanic,1,2,9,2022
1,Asian,Female,Hispanic,1,1,9,2022
1,TOM,Female,Hispanic,1,3,9,2022
1,White,Male,Not Hispanic,1,1560,10,2022
1,White,Female,Not Hispanic,1,1521,10,2022
1,Black,Male,Not Hispanic,1,84,10,2022
1,Black,Female,Not Hispanic,1,71,10,2022
