Race,Sex,Ethnicity,County,Count,Age,Year
White,Male,Not Hispanic,1,1557,1,2024
White,Female,Not Hispanic,1,1442,1,2024
Black,Male,Not Hispanic,1,85,1,2024
Black,Female,Not Hispanic,1,101,1,2024
AIAN,Male,Not Hispanic,1,4,1,2024
AIAN,Female,Not Hispanic,1,2,1,2024
Asian,Male,Not Hispanic,1,22,1,2024
Asian,Female,Not Hispanic,1,12,1,2024
NHOPI,Female,Not Hispanic,1,1,1,2024
TOM,Male,Not Hispanic,1,107,1,2024
TOM,Female,Not Hispanic,1,99,1,2024
White,Male,Hispanic,1,41,1,2024
White,Female,Hispanic,1,36,1,2024
Black,Male,Hispanic,1,3,1,2024
Black,Female,Hispanic,1,2,1,2024
AIAN,Female,Hispanic,1,5,1,2024
TOM,Male,Hispanic,1,7,1,2024
TOM,Female,Hispanic,1,17,1,2024
White,Male,Not Hispanic,1,1726,2,2024
White,Female,Not Hispanic,1,1632,2,2024
Black,Male,Not Hispanic,1,122,2,2024
Black,Female,Not Hispanic,1,106,2,2024
AIAN,Male,Not Hispanic,1,5,2,2024
AIAN,Female,Not Hispanic,1,1,2,2024
Asian,Male,Not Hispanic,1,26,2,2024
Asian,Female,Not Hispanic,1,25,2,2024
NHOPI,Female,Not Hispanic,1,1,2,2024
TOM,Male,Not Hispanic,1,114,2,2024
TOM,Female,Not Hispanic,1,113,2,2024
White,Male,Hispanic,1,50,2,2024
White,Female,Hispanic,1,52,2,2024
Black,Male,Hispanic,1,12,2,2024
Black,Female,Hispanic,1,7,2,2024
AIAN,Male,Hispanic,1,6,2,2024
AIAN,Female,Hispanic,1,6,2,2024
TOM,Male,Hispanic,1,4,2,2024
TOM,Female,Hispanic,1,7,2,2024
White,Male,Not Hispanic,1,1777,3,2024
White,Female,Not Hispanic,1,1658,3,2024
Black,Male,Not Hispanic,1,110,3,2024
Black,Female,Not Hispanic,1,85,3,2024
AIAN,Male,Not Hispanic,1,5,3,2024
AIAN,Female,Not Hispanic,1,2,3,2024
Asian,Male,Not Hispanic,1,14,3,2024
Asian,Female,Not Hispanic,1,28,3,2024
NHOPI,Female,Not Hispanic,1,2,3,2024
TOM,Male,Not Hispanic,1,110,3,2024
TOM,Female,Not Hispanic,1,91,3,2024
White,Male,Hispanic,1,52,3,2024
